Begin Time - hh:mm:ss.ms,End Time - hh:mm:ss.ms,P1,P2,Time,DQ_P1_Robbie,DQ_P2_Robbie,KT_P1_Scott,KT_P2_Scott,KB_P1_Scott,KB_P2_Scott,MC_P1_Scott,MC_P2_Scott,SQ_P2_Sarah,SQ_P1_Sarah
00:21:45.236,00:21:53.078,,like what is going to get six over seven minus one,,,,,,,,,,,
00:21:53.078,00:21:54.844,,because y is one basically,,,,,,,ER,,,,
00:21:55.383,00:22:08.942,well so when you're subtracting that y the y pause filler is really just can be pause filler a negative seven over seven y right,,,,,,,EC,,,,,CA
00:22:08.942,00:22:19.528,so then it would just be a negative thirteen over seven y when you subtract them together,,,,,SP,,,,,,,
00:22:20.396,00:22:24.337,,all right,,,,,,,,,,,
00:22:24.337,00:22:24.417,,so,,,,,,,,,,,
00:22:28.887,00:22:31.142,so then once you have that y,,,,,SP,,,,,,,
00:22:38.465,00:22:45.639,you have that,,,,,SP,,,,,,,
00:22:45.639,00:22:51.525,and then you just want to multiply it by seven over thirteen,,,,,SP,,,,,,,
00:22:51.525,00:22:53.431,mm-hmm that's lovely,,,,,,,,,,,,
00:22:54.469,00:22:58.140,,so what's eighty-six times seven,,,,,,,,,,RS,
00:22:58.200,00:23:01.134,pause filler I don't know,,,,,,,,,,,,
00:23:01.433,00:23:07.180,okay (inaudible) okay eight six times seven two two,,,,,SP,,,,,,,
00:23:07.180,00:23:18.185,and for the four (inaudible) six fifty-six plus four sixty-eight pause filler,,,,,SP,,,,,,,
00:23:18.185,00:23:22.455,maybe six hundred and two,,,,,SP,,,,,,,
00:23:22.515,00:23:37.700,,all right that's so close so six hundred two and then pause filler that is over negative thirteen,,,,,,,,,,,
00:23:39.466,00:23:40.474,yeah,,,,,CF,,,,,,,
00:23:40.474,00:23:49.563,,like I'm just going to go with that you know (laughter),,,,,,,,,,,
00:23:50.481,00:23:52.537,put a little negative sign then,,,,,SP,,,,,,,
00:23:53.175,00:23:55.031,there we go,,,,,,,,,,,,
00:23:55.031,00:23:59.002,,all right let's move onto the next one,,,,,,,,,,,
00:23:59.002,00:24:07.882,,all right so let's just start off by adding a two,,,,,SP,,,,,,
00:24:19.984,00:24:23.726,,so this cancels out then it,,,,,SP,,,,,,
00:24:29.173,00:24:30.750,and then you just have,,,,,SP,,,,,,,
00:24:30.750,00:24:35.329,,one hundred yeah (laughter) so,,,,,SP,,,,,,
00:24:33.360,00:24:33.795,yep,,,,,CF,,,,,,,
00:24:36.407,00:24:36.986,you have,,,,,,,,,,,,
00:24:38.073,00:24:41.924,,plus ten over third x,,,,,SP,,,,,,
00:24:41.924,00:24:45.776,,and then negative eleven x is left over on the other side,,,,,SP,,,,,,
00:24:46.354,00:24:52.890,,so now you want to add eleven x right,,,,,,,,,,CA,
00:24:53.089,00:24:59.904,,so then would that be if you're adding eleven x would that be,,,,,,,,,,RS,
00:24:59.904,00:25:09.262,pause filler wait if you're adding wait if you're adding elevenx,,,,,SP,,,,,,,
00:25:09.701,00:25:13.732,,would that be eleven and then ten over three,,,,,,,,,,CA,
00:25:14.830,00:25:23.470,okay if you're going to do that then on the other side you have zero equals scribble,,,,,SP,,,,,,,
00:25:24.578,00:25:32.450,so then you only want you want to have x on one side and the hundred on the other,,,,,SP,,,,,,,
00:25:32.769,00:25:36.411,so you don't want to do that,,,,,IF,,,,,,,
00:25:36.411,00:25:40.821,you would either have to pause filler put the hundred on the other side or,,,,,SP,,,,,,,
00:25:40.821,00:25:44.203,you would have to subtract your ten x (inaudible),,,,,SP,,,,,,,
00:25:44.901,00:25:51.407,do you get that,,,,,,,,,,,,
00:25:53.173,00:25:54.190,,all right so pause filler,,,,,,,,,,,
00:25:54.190,00:26:02.042,so which one would you rather do,,,,,,,,,,,,RS
00:26:02.072,00:26:05.235,so you could either subtract a hundred,,,,,SP,,,,,,,
00:26:05.694,00:26:08.019,or you could subtract ten x,,,,,SP,,,,,,,
00:26:10.004,00:26:14.484,the ten x will probably have less steps in here because you already put a hundred on one side,,,,,SP,,ER,,,,,
00:26:14.484,00:26:17.966,,all right so subtract ten x,,,,,SP,,,,,,
00:26:21.349,00:26:38.978,,so that would be negative twenty-one x equals one hundred plus three,,,,,SP,,,,,,
00:26:40.884,00:26:42.670,wait wait pause filler,,,,,,,,,,,,
00:26:44.057,00:26:48.796,it doesn't look right,,,,,CF,,,,,,,
00:26:49.265,00:26:50.442,,three x or three,,,,,,,,,,,
00:26:52.647,00:27:01.228,well you pause filler wait one second sorry,,,,,,,,,,,,
00:27:01.557,00:27:03.523,,it's okay,,,,,,,,,,,
00:27:03.523,00:27:04.032,wait a minute pause filler,,,,,,,,,,,,
00:27:04.979,00:27:08.900,I'm sorry I like zoned out for a couple second wait,,,,,,,,,,,,
00:27:08.900,00:27:12.422,so you added the eleven x,,,,,SP,,,,,,,
00:27:12.422,00:27:15.376,is that what you ended up doing,,,,,,,,,,,,CA
00:27:19.107,00:27:26.840,,pause filler I well then you say that you could subtract ten x from both sides,,,,,,,,,,,
00:27:26.840,00:27:28.227,yeah so is that what you did,,,,,,,,,,,,CA
00:27:28.386,00:27:28.785,,yeah so,,,,,,,,,,,
00:27:28.785,00:27:28.935,okay so,,,,,,,,,,,,
00:27:28.935,00:27:34.083,,so negative twenty-one x equals one hundred plus three,,,,,SP,,,,,,
00:27:34.083,00:27:34.562,no no no,,,,,,,,,,,,
00:27:34.562,00:27:39.072,so your question is would it be a negative twenty-one x,,,,,,,,,,,,CA
00:27:39.800,00:27:41.945,because you still have to divide it by three,,,,,,,EV,,,,,
00:27:41.945,00:27:42.823,so I'm pretty sure it won't,,,,,,,EV,,,,,
00:27:43.103,00:27:45.388,but yeah I'm getting confused,,,,,,,,,,,,
00:27:45.687,00:27:48.131,wait no wait no,,,,,,,,,,,,
00:27:48.131,00:27:56.442,you can't do that yeah because pause filler yeah you can't put the divided by three thing underneath that because that wouldn't work,,,,,,,EV,,,,,
00:27:58.019,00:28:01.531,so ten over three,,,,,SP,,,,,,,
00:28:02.628,00:28:03.776,,so you would have to,,,,,,,,,,,
00:28:03.776,00:28:12.506,so your negative eleven x because negative eleven is like over one and,,,,,,,ER,,,,,
00:28:12.606,00:28:15.140,,wouldn't you multiply it by three x probably,,,,,,,,,,,
00:28:16.587,00:28:22.334,well you're not trying to get rid well you're trying to get rid on that side by subtraction not multiplication,,,,,IF,,EV,,,,,
00:28:23.780,00:28:25.067,so what you can do,,,,,,,,,,,,RS
00:28:26.444,00:28:29.697,,It's going good,,,,,,,,,,,
00:28:33.009,00:28:33.528,,all right,,,,,,,,,,,
00:28:48.973,00:28:49.332,,okay,,,,,,,,,,,
00:28:50.809,00:28:51.218,okay,,,,,,,,,,,,
00:28:57.703,00:28:58.342,okay,,,,,,,,,,,,
00:29:34.330,00:35:38.060,,,S2 ,,,,,,,,,,
00:29:35.128,00:29:35.388,,okay,,,,,,,,,,,
00:29:35.966,00:29:40.087,,what did you get,,,,,,,,,,RS,
00:29:40.177,00:29:47.560,Skittles as well,,,,,,,,,,,,
00:29:47.560,00:29:51.261,I haven't had Skittles in like forever,,,,,,,,,,,,
00:29:51.820,00:29:52.429,,me neither,,,,,,,,,,,
00:29:53.666,00:30:05.040,huh that is somewhat weird,,,,,,,,,,,,
00:30:06.217,00:30:16.664,on the back it says a blue one is blue raspberry,,,,,,,,,,,,
00:30:16.664,00:30:18.420,but it doesn't say like blue raspberry,,,,,,,,,,,,
00:30:18.420,00:30:19.637,it just says raspberry,,,,,,,,,,,,
00:30:19.787,00:30:24.606,,okay so you know what like those marshmallow Peeps are right,,,,,,,,,,OSQ,
00:30:22.000,00:30:22.882,mm-hmm,,,,,,,,,,,,
00:30:24.705,00:30:27.768,,so my mom just buy pause filler Peeps,,,,,,,,,,,
00:30:27.768,00:30:30.652,,but they're blue raspberry flavored,,,,,,,,,,,
00:30:31.021,00:30:33.116,,and it was really weird,,,,,,,,,,,
00:30:33.206,00:30:34.773,it sounds weird,,,,,,,,,,,,
00:30:34.812,00:30:40.559,I should've known they're flavored Peeps,,,,,,,,,,,,
00:30:40.559,00:30:42.485,I thought they were just marshmallow flavored,,,,,,,,,,,,
00:30:42.485,00:30:42.904,,me too (laughter),,,,,,,,,,,
00:30:42.904,00:30:43.892,and sugar on top,,,,,,,,,,,,
00:30:44.251,00:30:54.198,,so until now I mean they have them for Easter Christmas Halloween every holiday basically,,,,,,,,,,,
00:30:55.954,00:31:04.395,,these are probably my new favorite type of Skittles,,,,,,,,,,,
00:31:05.523,00:31:11.020,I see,,,,,,,,,,,,
00:31:11.429,00:31:17.017,I don't really like the new green ones,,,,,,,,,,,,
00:31:17.545,00:31:18.234,,melon berry,,,,,,,,,,,
00:31:18.234,00:31:18.363,I know,,,,,,,,,,,,
00:31:18.563,00:31:28.431,okay come on see what flavor just,,,,,,,,,,,,
00:31:30.037,00:31:35.185,we got to try,,,,,,,,,,,,
00:31:35.185,00:31:36.293,there's a red one,,,,,,,,,,,,
00:31:37.161,00:31:43.417,,so would you want to go to college here,,,,,,,,,,OSQ,
00:31:44.414,00:31:47.507,pause filler I mean I think so,,,,,,,,,,,,
00:31:47.507,00:32:02.493,I don't know because there's like I mean it's a nice school,,,,,,,,,,,,
00:32:03.212,00:32:11.862,so yeah I'm not actually sure,,,,,,,,,,,,
00:32:14.057,00:32:33.982,like I'm not actually sure what I want to major in I guess so,,,,,,,,,,,,
00:32:33.982,00:32:45.565,,you don't have any idea what you want to be when you grow up,,,,,,,,,,,
00:32:47.361,00:32:49.077,somewhat but not really,,,,,,,,,,,,
00:32:50.275,00:32:51.502,,what is your somewhat idea,,,,,,,,,,OSQ,
00:32:51.502,00:32:52.520,I don't know,,,,,,,,,,,,
00:32:52.599,00:33:00.112,maybe I'm thinking maybe I'd be like a computer scientist or something like that-ish,,,,,,,,,,,,
00:33:00.751,00:33:02.267,you know I like computers,,,,,,,,,,,,
00:33:02.267,00:33:03.554,,that's cool,,,,,,,,,,,
00:33:03.944,00:33:05.261,what about you,,,,,,,,,,,,OSQ
00:33:05.290,00:33:09.671,,well as I told you last week I'm really into like theater and stuff,,,,,,,,,,,
00:33:10.139,00:33:11.267,,and I do musical theater,,,,,,,,,,,
00:33:11.267,00:33:14.170,,and I do shows and everything,,,,,,,,,,,
00:33:14.729,00:33:16.844,,and CMU is probably like one of the,,,,,,,,,,,
00:33:16.844,00:33:17.403,yeah,,,,,,,,,,,,
00:33:17.403,00:33:20.027,,it's one of the best like stuff for theater in the country,,,,,,,,,,,
00:33:20.995,00:33:24.088,,so this is like my dream school to go here for that,,,,,,,,,,,
00:33:25.784,00:33:29.086,oh yeah yeah it's sort of weird because,,,,,,,,,,,,
00:33:29.086,00:33:37.657,you don't really because you know pause filler this school it's like has a really good computer science and theater thing,,,,,,,,,,,,
00:33:37.657,00:33:39.543,which is sort of a weird combination,,,,,,,,,,,,
00:33:39.752,00:33:40.221,,yeah,,,,,,,,,,,
00:33:46.966,00:33:49.570,,the purple I don't know if I really like the purple ones,,,,,,,,,,,
00:33:50.318,00:33:51.785,let's see,,,,,,,,,,,,
00:33:52.363,00:33:53.421,the red ones are okay,,,,,,,,,,,,
00:33:53.421,00:33:55.117,I don't really like the green ones,,,,,,,,,,,,
00:33:55.117,00:33:56.803,I haven't tried the purple ones yet,,,,,,,,,,,,
00:33:58.350,00:33:58.609,,heh,,,,,,,,,,,
00:34:04.925,00:34:18.734,like the ones are like best so far are the blue ones I think you know,,,,,,,,,,,,
00:34:19.143,00:34:36.344,I like the purple ones they're the best,,,,,,,,,,,,
00:34:36.743,00:34:55.978,,all of these kind of remind me of a holiday,,,,,,,,,,,
00:34:57.166,00:34:57.665,really,,,,,,,,,,,,
00:34:58.234,00:34:59.561,,I know it's kind of weird to say,,,,,,,,,,,
00:34:59.561,00:35:01.486,,but the blue ones kind of remind me of Easter,,,,,,,,,,,
00:35:01.486,00:35:08.600,,and the red ones remind me of the Valentine's day just like the taste,,,,,,,,,,,
00:35:10.187,00:35:18.448,,and the purple ones remind me Christmas,,,,,,,,,,,
00:35:18.627,00:35:22.568,the purple ones feel sort of summery,,,,,,,,,,,,
00:35:22.818,00:35:40.707,I (inaudible) the purple ones would have to taste like the fourth of July,,,,,,,,,,,,
00:35:45.766,00:35:46.095,huh,,,,,,,,,,,,
00:35:46.135,00:35:46.424,yes,,,,,,,,,,,,
00:36:00.133,00:36:02.847,,all right so first you're going to,,,,,,,,,,,
00:36:02.750,00:56:38.600,,,T2 ,,,,,,,,,,
00:36:03.246,00:36:10.210,one second I don't have that thing up,,,,,,,,,,,,
00:36:10.959,00:36:12.266,are you in Chrome,,,,,,,,,,,,OSQ
00:36:12.266,00:36:13.622,is that it,,,,,,,,,,,,OSQ
00:36:13.622,00:36:23.360,are you in Chrome for the browser,,,,,,,,,,,,OSQ
00:36:25.206,00:36:27.421,,pause filler I'm not sure,,,,,,,,,,,
00:36:28.489,00:36:29.427,one sec,,,,,,,,,,,,
00:36:30.424,00:36:31.482,oh yeah you are,,,,,,,,,,,,
00:36:31.532,00:36:38.167,but one second let me open up,,,,,,,,,,,,
00:36:38.286,00:36:38.945,so you're on,,,,,,,,,,,,
00:36:39.364,00:36:41.868,,where did the pen go,,,,,,,,,,OSQ,
00:36:42.128,00:36:42.916,,what the heck,,,,,,,,,,OSQ,
00:36:44.802,00:36:48.683,is your thing set up as one over x equals twenty-five,,,,,,,,,,,,OSQ
00:36:49.271,00:36:49.511,,yes,,,,,,,,,,,
00:36:50.559,00:36:50.728,okay,,,,,,,,,,,,
00:36:50.728,00:36:52.614,,oh my gosh,,,,,,,,,,,
00:36:52.614,00:36:53.582,,where did the pen go,,,,,,,,,,OSQ,
00:36:56.236,00:37:19.882,,I swear I'm going insane,,,,,,,,,,,
00:37:24.980,00:37:30.817,,one second,,,,,,,,,,,
00:37:37.532,00:37:44.586,did you find it,,,,,,,,,,,,OSQ
00:37:45.204,00:37:45.793,,yeah,,,,,,,,,,,
00:37:46.242,00:37:48.926,what was it,,,,,,,,,,,,OSQ
00:37:48.926,00:37:50.163,,he had the pen,,,,,,,,,,,
00:37:50.163,00:37:54.014,,he certainly grabbed it,,,,,,,,,,,
00:37:54.852,00:38:01.447,,all right so now do you know how to do this,,,,,,,,,,,
00:38:01.447,00:38:04.610,,we're going to start off by multiplying by x on both sides,,,,,SP,,,,,,
00:38:05.508,00:38:12.532,okay so you multiply it by x on the (inaudible),,,,,SP,,,,,,,
00:38:12.532,00:38:16.653,,well actually never mind,,,,,,,,,,,
00:38:17.182,00:38:18.030,,that was wrong,,,,,IF,,,,,,
00:38:18.030,00:38:23.038,,wait I'm looking at the tutor worksheet,,,,,,,,,,,
00:38:33.205,00:38:35.700,,yeah you do multiply both sides by x okay,,,,,SP,,,,,,
00:38:35.729,00:38:41.456,okay so and so you multiply that by x,,,,,SP,,,,,,,
00:38:42.374,00:38:46.705,then you get one x over x,,,,,SP,,,,,,,
00:38:46.754,00:38:48.121,so that could be one,,,,,,,EC,,,,,
00:38:48.121,00:38:51.055,,oh yeah that would just be one no x on this side,,,,,SP,,,,,,
00:38:51.055,00:38:52.920,,after you multiply on this side,,,,,SP,,,,,,
00:38:52.920,00:38:54.148,,after you multiply it by x,,,,,SP,,,,,,
00:38:54.148,00:38:56.662,,it pause filler it cancels out the x,,,,,SP,,,,,,
00:38:56.662,00:38:59.216,,so then that would be twenty-five x,,,,,SP,,,,,,
00:38:59.815,00:39:06.400,yeah so then you divide it by twenty-five on both sides,,,,,SP,,,,,,,
00:39:07.228,00:39:07.587,okay,,,,,,,,,,,,
00:39:15.320,00:39:21.356,okay so then you have x equals one over twenty-five,,,,,A,,,,,,,
00:39:25.796,00:39:43.705,,all right oh you all right okay,,,,,,,,,,,
00:39:43.705,00:39:47.726,,so you want to start off by adding seventeen,,,,,SP,,,,,,
00:39:47.726,00:39:48.763,,now what do you do next,,,,,,,,,,RS,
00:39:48.763,00:39:51.308,,you add a number to the sides,,,,,SP,,,,,,
00:39:51.308,00:39:53.772,okay pause filler okay yeah it makes sense,,,,,CF,,,,,,,
00:39:53.772,00:39:55.917,so you just add the seventeen,,,,,SP,,,,,,,
00:39:59.749,00:40:02.472,and then you would get eighty,,,,,,,,,,,,CA
00:40:02.472,00:40:06.763,,yeah so negative three over y equals eighty,,,,,CF,,,,,,
00:40:11.861,00:40:14.844,,now you want to multiply it by y on both sides,,,,,SP,,,,,,
00:40:14.974,00:40:24.602,okay so one pause filler negative three equals eighty-y,,,,,SP,,,,,,,
00:40:25.660,00:40:30.698,this you would want to divide it by y,,,,,SP,,,,,,,
00:40:30.698,00:40:36.675,no you would want to divide it by,,,,,IF,,,,,,,
00:40:36.675,00:40:38.051,no you would want to divide by,,,,,SP,,,,,,,
00:40:38.051,00:40:38.451,,eighty,,,,,SP,,,,,,
00:40:38.850,00:40:39.388,eighty,,,,,SP,,,,,,,
00:40:39.648,00:40:52.768,so then you would get y equals negative three over eighty,,,,,A,,,,,,,
00:40:53.137,00:40:57.627,that must be okay that was this is beautiful okay,,,,,,,,,,,,
00:40:57.627,00:40:59.383,okay next,,,,,,,,,,,,
00:41:02.187,00:41:09.759,,all right so two hundred ten equals negative fourteen over y,,,,,RP,,,,,,
00:41:09.759,00:41:12.862,,what do you think your first step is going to be,,,,,,,,,,RS,
00:41:12.862,00:41:15.746,pause filler so you multiply it by y yeah,,,,,SP,,,,,,,
00:41:15.746,00:41:19.657,,so that cancels that out on this side,,,,,SP,,,,,,
00:41:19.807,00:41:22.231,,and then you can equal two hundred ten,,,,,SP,,,,,,
00:41:22.231,00:41:23.987,so you got negative yes,,,,,SP,,,,,,,
00:41:23.987,00:41:32.867,and then you get two hundred and ten y equals negative fourteen,,,,,SP,,,,,,,
00:41:33.076,00:41:43.363,okay so after you do that you pause filler want to divide everything by twenty-five,,,,,SP,,,,,,,
00:41:43.363,00:41:52.452,,yeah so you're left with y on one side,,,,,SP,,,,,,
00:41:54.388,00:41:59.476,,because the two hundred ten is canceled out,,,,,,,ER,,,,
00:41:59.676,00:42:07.199,mm-hmm and (inaudible) you're both uh-huh with seven (inaudible),,,,,SP,,,,,,,
00:42:07.658,00:42:09.005,that looks good,,,,,,,,,,,,
00:42:09.005,00:42:16.627,okay so because this one,,,,,,,,,,,,
00:42:16.627,00:42:25.318,,you want to start off by adding twenty-four to both sides,,,,,SP,,,,,,
00:42:25.318,00:42:40.553,and then oh one hundred thirty-seven equals five over x,,,,,SP,,,,,,,
00:42:40.553,00:42:50.331,and then like the other ones you would want to multiply it by x,,,,,,,EX,,,,,
00:42:50.670,00:42:51.199,,correct,,,,,CF,,,,,,
00:42:54.392,00:43:10.585,and one hundred thirty-seven x equals five divided by hundred thirty-seven,,,,,SP,,,,,,,
00:43:11.313,00:43:11.672,,perfect,,,,,CF,,,,,,
00:43:11.832,00:43:26.419,yup x equals pause filler one hundred thirty-seven yeah,,,,,A,,,,,,,
00:43:26.419,00:43:28.454,,you got it,,,,,,,,,,,
00:43:29.153,00:43:30.080,yeah okay pause filler,,,,,,,,,,,,
00:43:30.180,00:43:32.754,next one,,,,,,,,,,,,
00:43:32.824,00:43:33.383,,yup,,,,,,,,,,,
00:43:35.368,00:43:35.608,pause filler yeah,,,,,,,,,,,,
00:43:36.606,00:43:42.522,,all right oh so this is different,,,,,,,EX,,,,
00:43:42.522,00:43:43.071,yeah,,,,,CF,,,,,,,
00:43:43.071,00:43:46.513,,so you negative thirty-nine is smaller,,,,,SP,,,,,,
00:43:46.513,00:43:56.630,,so you probably want to start off by adding thirty-nine to both sides,,,,,,,ER,,,,
00:43:56.810,00:43:57.827,pause filler well yeah it makes sense,,,,,CF,,,,,,,
00:44:04.931,00:44:10.559,,so remember that seventeen over x and twelve over x are like terms,,,,,SP,,,,,,
00:44:10.988,00:44:17.543,,so you probably want to subtract twelve x from both sides,,,,,,,ER,,,,
00:44:18.381,00:44:20.685,yeah okay one second,,,,,,,,,,,,
00:44:20.685,00:44:22.252,let me just get this up,,,,,,,,,,,,
00:44:22.252,00:44:27.520,equals twelve x or soon not to be twelve x,,,,,SP,,,,,,,
00:44:27.610,00:44:33.476,oh it's twenty-one (inaudible) eighteen eighteen,,,,,,,,,,,,
00:44:33.975,00:44:45.679,we can subtract that to get pause filler five over x equals eighteen,,,,,SP,,,,,,,
00:44:45.998,00:44:46.886,,all right yup,,,,,,,,,,,
00:44:46.886,00:44:56.295,multiply it by x to get five pause filler equals eighteen x,,,,,SP,,,,,,,
00:44:56.295,00:45:04.855,and we can divide by eighteen to get on with over here pause filler,,,,,SP,,,,,,,
00:45:06.511,00:45:10.762,five over eighteen equals x,,,,,A,,,,,,,
00:45:10.901,00:45:16.588,that's so sloppy,,,,,,,,,,,,
00:45:16.738,00:45:17.157,and x,,,,,,,,,,,,
00:45:17.157,00:45:25.807,,all right so this one is very similar,,,,,,,EX,,,,
00:45:25.807,00:45:28.900,,so negative nine and two are smaller,,,,,SP,,,,,,
00:45:28.900,00:45:31.944,,so what would you do with that,,,AH,,,,,,,RS,
00:45:31.944,00:45:38.100,pause filler so you would want to you want to add it,,,,,SP,,,,,,,
00:45:38.379,00:45:45.064,and you get plus another ninety-two,,,,,SP,,,,,,,
00:45:45.064,00:46:00.519,okay pause filler then you have three x equals pause filler a hundred and three plus twelve x,,,,,SP,,,,,,,
00:46:00.848,00:46:04.041,and then you want to subtract with twelve x,,,,,SP,,,,,,,
00:46:04.310,00:46:06.126,get rid of that until (inaudible),,,,,SP,,,,,,,
00:46:06.126,00:46:08.341,,well twelve over x remember,,,,,IF,,,,,,
00:46:08.760,00:46:09.837,oh yeah (laughter),,,,,,,,,,,,
00:46:10.097,00:46:13.040,,but it's okay you still subtract,,,,,SP,,,,,,
00:46:13.200,00:46:13.489,here,,,,,,,,,,,,
00:46:13.489,00:46:18.488,,but you should subtract pause filler three x right three over x first,,,,,SP,,,,,,
00:46:19.266,00:46:20.773,you did that one,,,,,,,,,,,,
00:46:20.773,00:46:26.889,it could be a zero equals a hundred three plus fifteen x,,,,,,,,,,,,
00:46:26.889,00:46:33.893,,no because if you're subtracting pause filler three over x on from twelve,,,,,IF,,EV,,,,
00:46:34.302,00:46:40.328,,then it would be pause filler nine over x like one hundred three,,,,,SP,,,,,,
00:46:40.328,00:46:44.479,pause filler yeah one second yeah,,,,,,,,,,,,
00:46:44.798,00:46:47.512,,oh well actually right you're right sorry,,,,,CF,,,,,,
00:46:47.512,00:46:48.450,okay,,,,,,,,,,,,
00:46:48.450,00:46:49.627,,so you would subtract twelve x,,,,,,,ER,,,,
00:46:49.627,00:46:52.939,,because three x is on the other equal side of the,,,,,,,ER,,,,
00:46:52.939,00:46:58.926,okay so minus twelve x,,,,,SP,,,,,,,
00:46:58.926,00:47:07.097,yeah that's a beautiful x (laughter),,,,,,,,,,,,
00:47:07.297,00:47:14.530,so then you know being negative nine yeah negative yeah twelve over x,,,,,SP,,,,,,,
00:47:14.530,00:47:21.115,and we got negative nine x equals a hundred and three,,,,,SP,,,,,,,
00:47:24.568,00:47:27.780,that makes sense,,,,,,,,,MCRO,,,
00:47:27.810,00:47:29.167,okay and then,,,,,,,,,,,,
00:47:29.167,00:47:42.307,,you divide by well you said you multiply I mean,,,,,SP,,,,,,
00:47:43.125,00:47:57.323,I guess you could divide right pause filler maybe,,,,,SP,,,,,,,
00:47:57.323,00:48:04.666,I think you could divide but pause filler multiply okay pause filler,,,,,SP,,,,,,,
00:48:05.864,00:48:10.064,x wait no nine equals,,,,,SP,,,,,,,
00:48:10.064,00:48:12.439,,how do you get your screen to go lower,,,,,,,,,,OSQ,
00:48:12.439,00:48:14.165,,because I can't see what you're doing,,,,,,,,,,,
00:48:14.165,00:48:15.651,pause filler you can't pause filler,,,,,,,,,,,,
00:48:15.651,00:48:22.167,see how far can you see to what I'm doing,,,,,,,,,,,,OSQ
00:48:24.022,00:48:25.270,,I can see,,,,,,,,,,,
00:48:25.599,00:48:29.171,here I'm going to write a bunch of numbers,,,,,,,,,,,,
00:48:29.171,00:48:30.617,tell me which ones you can see,,,,,,,,,,,,
00:48:30.617,00:48:32.014,can you see any of those,,,,,,,,,,,,OSQ
00:48:32.393,00:48:34.080,,I can see one two three and four,,,,,,,,,,,
00:48:34.459,00:48:36.754,okay so you can't see five and six pause filler,,,,,,,,,,,,
00:48:36.754,00:48:42.580,okay now I'll get rid of those pause filler okay pause filler,,,,,,,,,,,,
00:48:44.037,00:48:51.480,huh is your pause filler scribbler screen like fully like,,,,,,,,,,,,OSQ
00:48:51.480,00:48:55.052,is it from like one end to the screen all the way up to the other,,,,,,,,,,,,OSQ
00:48:56.419,00:49:01.607,,well it is now because I've just made it bigger but it's,,,,,,,,,,,
00:49:01.607,00:49:05.827,can you see nine equals one hundred threex,,,,,,,,,,,,OSQ
00:49:05.907,00:49:12.063,,pause filler yes I wait it's okay,,,,,,,,,,,
00:49:12.063,00:49:13.001,,just keep working,,,,,,,,,,,
00:49:13.001,00:49:14.598,,I can fix it,,,,,,,,,,,
00:49:16.603,00:49:17.271,,just keep working,,,,,,,,,,,
00:49:17.271,00:49:17.700,,it's okay,,,,,,,,,,,
00:49:18.259,00:49:23.577,pause filler ops one second I think pause filler oh actually a way to scroll down,,,,,,,,,,,,
00:49:23.577,00:49:28.067,you can just probably use a scroll button pause filler,,,,,,,,,,,,
00:49:28.067,00:49:30.222,no that one,,,,,,,,,,,,
00:49:30.222,00:49:31.359,like okay yeah okay pause filler yeah,,,,,,,,,,,,
00:49:31.359,00:49:32.956,I'll just try and go with it,,,,,,,,,,,,
00:49:34.123,00:49:42.414,so then I go pause filler one hundred and three x oh (laughter) pause filler,,,,,SP,,,,,,,
00:49:42.833,00:49:45.078,yes you divide a hundred and three,,,,,SP,,,,,,,
00:49:45.078,00:49:52.402,so you got nine over a hundred and three equals x,,,,,A,,,,,,,
00:49:53.000,00:49:57.430,there we go okay,,,,,,,,,,,,
00:49:58.947,00:50:01.311,and next one,,,,,,,,,,,,
00:50:02.758,00:50:06.200,,all right so twenty-five is smaller,,,,,SP,,,,,,
00:50:06.200,00:50:23.351,,so you want to start up by subtracting that from both sides right,,,,,,,,,,CA,
00:50:10.988,00:50:11.238,yea,,,,,CF,,,,,,,
00:50:23.541,00:50:23.690,pause filler yeah,,,,,,,,,,,,
00:50:23.800,00:50:24.169,come on (laughter),,,,,,,,,,,,
00:50:24.169,00:50:29.507,that's sort of like I just want to know what that looks like,,,,,,,,,,,,
00:50:29.936,00:50:46.389,then got one over x no wait and then that will be plus thirty-five equals nine over x,,,,,SP,,,,,,,
00:50:49.671,00:50:53.762,and then since you have that already,,,,,,,ER,,,,,
00:50:54.151,00:50:57.973,you want to get rid of the one over x,,,,,,,ER,,,,,
00:50:58.282,00:51:00.377,and it's just the bottoms all (inaudible) is,,,,,SP,,,,,,,
00:51:00.377,00:51:01.664,you can just subtract that,,,,,SP,,,,,,,
00:51:01.664,00:51:04.099,,yes so you subtract one over x on both sides,,,,,SP,,,,,,
00:51:04.538,00:51:05.775,,and then you would end up with,,,,,,,,,,RS,
00:51:06.753,00:51:09.716,thirty-five equals eight overx,,,,,SP,,,,,,,
00:51:10.045,00:51:20.202,,so then you would want to multiply it by x on both sides to cancel out the x on this side,,,,,,,ER,,,,
00:51:20.202,00:51:24.432,well I was thinking pause filler since pause filler since the wait,,,,,,,,,MCRO,,,
00:51:24.742,00:51:27.007,you could try dividing by eight,,,,,,,,,,,,
00:51:27.007,00:51:29.641,do you think that would work,,,,,,,,,,,,HR
00:51:30.040,00:51:37.193,,well on my tutor sheet it doesn't say anything about dividing by eight so,,,,,,,,,,,
00:51:38.441,00:51:43.958,,I think you would just I think that it would just pause filler give you extra steps that you don't plan,,,,,,,EV,,,,
